zip codes within 20.0 miles:
     20434 Washington, DC 1.40 
     20435 Washington, DC 2.66 
     20436 Washington, DC 1.67 
     20437 Washington, DC 3.09 
     20439 Washington, DC 1.40 
     20440 Washington, DC 3.04 
     20441 Washington, DC 2.87 
     20442 Washington, DC 1.49 
     20444 Washington, DC 1.40 
     20447 Washington, DC 2.19 
     20451 Washington, DC 2.89 
     20453 Washington, DC 1.40 
     20456 Washington, DC 2.66 
     20460 Washington, DC 2.31 
     20463 Washington, DC 1.40 
     20468 Washington, DC 1.40 
     20469 Washington, DC 1.40 
     20470 Washington, DC 1.40 
     20472 Washington, DC 1.40 
     20500 Washington, DC 2.47 
     20501 Washington, DC 2.44 
     20502 Washington, DC 2.44 
     20503 Washington, DC 2.80 
     20504 Washington, DC 1.40 
     20505 Washington, DC 1.40 
     20506 Washington, DC 2.52 
     20507 Washington, DC 1.40 
     20508 Washington, DC 1.40 
     20510 Washington, DC 1.40 
     20515 Washington, DC 1.40 
     20520 Washington, DC 3.17 
     20521 Washington, DC 1.40 
     20522 Washington, DC 3.17 
     20523 Washington, DC 3.10 
     20524 Washington, DC 2.24 
     20525 Washington, DC 1.40 
     20526 Washington, DC 2.84 
     20527 Washington, DC 2.43 
     20530 Washington, DC 1.96 
     20531 Washington, DC 1.75 
     20532 Washington, DC 1.43 
     20533 Washington, DC 2.24 
     20534 Washington, DC 1.28 
     20535 Washington, DC 1.91 
     20536 Washington, DC 1.40 
     20537 Washington, DC 1.91 
     20538 Washington, DC 1.40 
     20539 Washington, DC 1.40 
     20540 Washington, DC 1.24 
     20541 Washington, DC 1.24 
     20542 Washington, DC 3.36 
     20543 Washington, DC 1.40 
     20544 Washington, DC 1.40 
     20546 Washington, DC 1.78 
     20547 Washington, DC 1.40 
     20548 Washington, DC 1.46 
     20549 Washington, DC 1.40 
     20550 Washington, DC 1.40 
     20551 Washington, DC 2.99 
     20552 Washington, DC 1.40 
     20553 Washington, DC 2.00 
     20554 Washington, DC 1.40 
     20555 Washington, DC 2.65 
     20557 Washington, DC 1.24 
     20558 Washington, DC 1.40 
     20559 Washington, DC 1.24 
     20560 Washington, DC 1.40 
     20565 Washington, DC 1.65 
     20566 Washington, DC 3.48 
     20570 Washington, DC 2.65 
     20571 Washington, DC 2.34 
     20572 Washington, DC 1.40 
     20573 Washington, DC 1.40 
     20575 Washington, DC 1.40 
     20576 Washington, DC 1.84 
     20577 Washington, DC 2.34 
     20578 Washington, DC 1.40 
     20579 Washington, DC 2.89 
     20580 Washington, DC 1.40 
     20581 Washington, DC 1.40 
     20585 Washington, DC 1.40 
     20586 Washington, DC 3.03 
     20590 Washington, DC 2.08 
     20591 Washington, DC 1.40 
     20593 Washington, DC 1.40 
     20594 Washington, DC 1.88 
     20597 Washington, DC 1.40 
     20599 Washington, DC 1.40 
     20601 Waldorf, MD 19.77 
     20603 Waldorf, MD 18.75 
     20607 Accokeek, MD 15.92 
     20613 Brandywine, MD 17.99 
     20616 Bryans Road, MD 18.81 
     20623 Cheltenham, MD 13.63 
     20697 Southern Md Facility, MD 7.70 
     20701 Annapolis Junction, MD 18.89 
     20703 Lanham, MD 7.70 
     20704 Beltsville, MD 7.70 
     20705 Beltsville, MD 10.70 
     20706 Lanham, MD 8.55 
     20707 Laurel, MD 15.15 
     20708 Laurel, MD 13.75 
     20709 Laurel, MD 7.70 
     20710 Bladensburg, MD 4.27 
     20711 Lothian, MD 18.30 
     20712 Mount Rainier, MD 3.11 
     20715 Bowie, MD 14.32 
     20716 Bowie, MD 14.46 
     20717 Bowie, MD 7.70 
     20718 Bowie, MD 7.70 
     20719 Bowie, MD 7.70 
     20720 Bowie, MD 12.47 
     20721 Bowie, MD 10.64 
     20722 Brentwood, MD 3.35 
     20723 Laurel, MD 17.56 
     20724 Laurel, MD 17.08 
     20725 Laurel, MD 7.70 
     20726 Laurel, MD 7.70 
     20731 Capitol Heights, MD 7.70 
     20735 Clinton, MD 11.39 
     20737 Riverdale, MD 5.59 
     20738 Riverdale, MD 7.70 
     20740 College Park, MD 7.48 
     20741 College Park, MD 7.70 
     20742 College Park, MD 7.70 
     20743 Capitol Heights, MD 4.66 
     20744 Fort Washington, MD 10.05 
     20745 Oxon Hill, MD 6.51 
     20746 Suitland, MD 5.93 
     20747 District Heights, MD 6.48 
     20748 Temple Hills, MD 6.15 
     20749 Fort Washington, MD 7.70 
     20750 Oxon Hill, MD 7.70 
     20752 Suitland, MD 7.70 
     20753 District Heights, MD 7.70 
     20755 Fort George G Meade, MD 19.40 
     20757 Temple Hills, MD 7.70 
     20759 Fulton, MD 17.19 
     20762 Andrews Air Force Base, MD 8.06 
     20763 Savage, MD 18.58 
     20768 Greenbelt, MD 7.70 
     20769 Glenn Dale, MD 11.01 
     20770 Greenbelt, MD 9.23 
     20771 Greenbelt, MD 7.70 
     20772 Upper Marlboro, MD 13.59 
     20773 Upper Marlboro, MD 7.70 
     20774 Upper Marlboro, MD 9.92 
     20775 Upper Marlboro, MD 7.70 
     20777 Highland, MD 18.82 
     20781 Hyattsville, MD 4.30 
     20782 Hyattsville, MD 4.58 
     20783 Hyattsville, MD 6.13 
     20784 Hyattsville, MD 6.44 
     20785 Hyattsville, MD 5.62 
     20787 Hyattsville, MD 5.91 
     20788 Hyattsville, MD 5.14 
     20790 Capitol Heights, MD 7.70 
     20791 Capitol Heights, MD 7.70 
     20797 Southern Md Facility, MD 7.70 
     20799 Capitol Heights, MD 7.70 
     20812 Glen Echo, MD 9.49 
